document,summary
"b""a court has ordered chinese construction tycoon yan UNK , beset by creditors ' demands for repayment of loans , to avoid extravagant spending and not use luxury cars , a court official said thursday .""",b'chinese tycoon yan UNK ordered to cut back on luxury spending official says'
"b'kid gavilan , who came out of the cuban sugar fields to become the world welterweight champion of the early ####s , displaying a flashy style that featured his signature bolo punch , died thursday at a hospital in miami .'",b'kid gavilan ## welterweight boxing champion in early ####s'
"b'the governor of the bank of mexico -lrb- banxico -rrb- , guillermo ortiz , called on the united states on tuesday to increase cooperation with latin america .'",b'mexico urges us to increase cooperation with latin america'
"b'dutch foreign minister benard bot said he anticipates turkey will be able to join the european union -lrb- eu -rrb- in #### , dutch newspaper de volkskrant reported on wednesday .'",b'dutch foreign minister says turkey can join eu in ####'
"b""not even the ringing of his opponent 's cell phone during play could distract sebastien grosjean .""","b""player 's phone rings during match"""
b'russia made good on its threat to cut off all natural gas supplies to ukraine -- but the two uneasy neighbors took great pains to make sure their contract dispute would not leave europe short of gas just as winter set in .',b'russia ukraine say gas dispute won t hurt europe'
"b""the rise of taiwan nationalism , helped by the democratization process , is challenging mainland china 's UNK and putting china 's reunification at risk , a china expert said on friday .""",b'rising taiwan nationalism versus mainland chinese UNK'
"b""hong kong gold prices opened lower wednesday at ###.##-### .## us dollars an ounce , down from tuesday 's close of ###.##-### .## dollars an ounce .""",b'hong kong gold opens lower'
"b'vowing a crackdown on juvenile crime , california gov. pete wilson proposed a sweeping package of laws that would let prosecutors charge more juveniles as adults and pushed a bond measure to expand youth detention centers .'",b'wilson proposes laws to cut juvenile crime in california'
"b""hong kong today launched an internet home page for economic and business development in order to keep with its position as one of the world 's most advanced economies .""",b'hk launches internet home page'
"b""a gun-toting kentucky pastor says it 's ok to bring weapons to church -- at least for one day .""",b'us pastor welcomes guns their owners to church'
"b'the confrontation between pro-taiwan overseas chinese and pro-china chinese people living abroad should be brought to an end , president ma ying-jeou said tuesday .'",b'president calls for end to confrontation between overseas chinese'
b'the european commission said tuesday that it hopes eu finance ministers meeting in two days will adopt a plan that sees euro-zone economies UNK balanced budgets by #### .',b'european commission urges finance ministers to set budget policy'
b'a group of microsoft allies has warned that any delay of windows ## operating system could hurt businesses and consumers .',b'us computer companies back microsoft in windows ##'
b'a west bank-based islamic hamas lawmaker denied monday the earlier reports that his movement has launched secret and direct dialogue with israel .',b'hamas lawmaker denies secret direct dialogue with israel'
"b'with the presidential nominations all but settled , the candidates and the political parties are replenishing their campaign coffers , raising money for tv ads to sharpen their differences before the first delegates arrive at the conventions this summer .'",b'candidates parties seek more funds'
